#This mapping was created following and expanding upon the SSSOM guidance: https://github.com/mapping-commons/SSSOM/blob/master/SSSOM.md
#dcterms:license: CC-BY
#version: Version 1
#creator_id:
#  - https://orcid.org/0000-0002-3237-4547
#  - https://orcid.org/0000-0002-4366-3088
#  - https://orcid.org/0000-0002-8083-6048
#  - https://orcid.org/0000-0001-9625-1899
#  - https://orcid.org/0000-0001-7087-2646
#  - https://orcid.org/0000-0002-2996-719X
#  - https://orcid.org/0000-0002-6601-2165
#  - https://orcid.org/0000-0002-4236-0384
#  - https://orcid.org/0000-0001-6215-3617
#  - https://orcid.org/0000-0003-1691-239X
#  - https://orcid.org/0000-0001-9401-8460
#  - https://orcid.org/0000-0003-3770-3714
#  - https://orcid.org/0000-0001-8815-0078
#  - https://orcid.org/0000-0003-1144-0290
#creator_name:
#  - Ward Appeltans
#  - Pier Luigi Buttigieg
#  - Mariya Dimitrova
#  - Willam D. Duncan
#  - Yi-Ming Gan
#  - Raïssa Meyer
#  - Christopher Mungall
#  - Pieter Provoost
#  - Tim Robertson
#  - Thomas Stjernegaard Jeppesen
#  - Saara Suominen
#  - Maxime Sweetlove
#  - Ramona L. Walls
#  - John Wieczorek
#curie_map:
#  - dwc: http://rs.tdwg.org/dwc/terms/
#  - dwcversion: http://rs.tdwg.org/dwc/terms/version/
#  - dcterms: http://purl.org/dc/terms/
#  - dcversion: http://dublincore.org/usage/terms/history/
#  - MIXS: https://w3id.org/gensc/terms/MIXS:
#  - MIXSversion: https://github.com/GenomicsStandardsConsortium/mixs-legacy/blob/master/mixs5/
#  - orcid: https://orcid.org/
#  - skos: http://www.w3.org/2004/02/skos/core
subject_id	subject_label	subject_definition	subject_valueSyntax	subject_category	predicate_id	predicate_label	syntax_predicate_id	syntax_predicate_label	object_id	object_label	object_definition	object_valueSyntax	object_category	match_type	creator_id	subject_source	subject_source_version	object_source	object_source_version	mapping_date	comment	syntax_comment
dwc:verbatimCoordinates	Verbatim Coordinates	The verbatim original spatial coordinates of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.	verbatim	https://dwc.tdwg.org/list/#dcterms_Location	skos:broadMatch	broad match to	skos:relatedMatch	related match to	MIXS:0000009	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	{float} {float}	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:verbatimCoordinates	dwcversion:verbatimCoordinates-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-02-09	The Coordinate Reference System "epsg:4326" must be provided explicitly in dwc:verbatimSRS in order for the mapping to be complete.	The DwC term expects a verbatim input (so anything really), whereas MIxS expects decimal degrees input as {float} {float} 
dwc:decimalLatitude	Decimal Latitude	The geographic latitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are north of the Equator, negative values are south of it. Legal values lie between -90 and 90, inclusive.	 	https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch	narrow match to	skos:narrowMatch	narrow match to	MIXS:0000009	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	{float} {float}	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:decimalLatitude	dwcversion:decimalLatitude-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-03-30	The DwC term only refers to half of the MIxS term	The DwC term expects decimal degrees, and so does MIxS - however, MIxS expects two input values, while DwC only expects one
dwc:decimalLongitude	Decimal Longitude	The geographic longitude (in decimal degrees, using the spatial reference system given in geodeticDatum) of the geographic center of a Location. Positive values are east of the Greenwich Meridian, negative values are west of it. Legal values lie between -180 and 180, inclusive.	 	https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch	narrow match to	skos:narrowMatch	narrow match to	MIXS:0000009	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	{float} {float}	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:decimalLongitude	dwcversion:decimalLongitude-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-03-30	The DwC term only refers to half of the MIxS term	The DwC term expects decimal degrees, and so does MIxS - however, MIxS expects two input values, while DwC only expects one
dwc:verbatimLatitude	Verbatim Latitude	The verbatim original latitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.	verbatim	https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch	narrow match to	skos:relatedMatch	related match to	MIXS:0000009	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	{float} {float}	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:verbatimLatitude	dwcversion:verbatimLatitude-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-07	The DwC term only refers to half of the MIxS term but allows a wider variety of input 	MIxS expects two input values in decimal degrees, while DwC only expects one as verbatim (so anything really)
dwc:verbatimLongitude	Verbatim Longitude	The verbatim original longitude of the Location. The coordinate ellipsoid, geodeticDatum, or full Spatial Reference System (SRS) for these coordinates should be stored in verbatimSRS and the coordinate system should be stored in verbatimCoordinateSystem.	verbatim	https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch	narrow match to	skos:relatedMatch	related match to	MIXS:0000009	lat_lon	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	{float} {float}	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:verbatimLongitude	dwcversion:verbatimLongitude-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-07	The DwC term only refers to half of the MIxS term but allows a wider variety of input 	MIxS expects two input values in decimal degrees, while DwC only expects one as verbatim (so anything really)
dwc:verbatimDepth	Verbatim Depth	The original description of the depth below the local surface.	verbatim	https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch	narrow match to	skos:relatedMatch	related match to	MIXS:0000018	depth	Please refer to the definitions of depth in the environmental packages	-	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:verbatimDepth	dwcversion:verbatimDepth-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-02-09	In Darwin Core, according to best practices, depth is measured in water from an air-water surface, while in other media the corresponding terms are dwc:minimumDistanceAboveSurfaceInMeters and dwc:maximumDistanceAboveSurfaceInMeters, where the values would be negative for depth. Thus, for a sediment at the bottom of a lake, there would be an elevation of the lake surface, the depth of the top of the sediment in the lake, and minimum and maximum distances below the sediment surface within which a sample was taken.	The DwC term expects a verbatim input (so anything really), while MIxS expects a {float} {unit} entry in meters
dwc:minimumDistanceAboveSurfaceInMeters	Minimum Distance Above Surface in Meters	The lesser distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.	 	https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch	narrow match to	skos:exactMatch	exact match to	MIXS:0000018	depth	Please refer to the definitions of depth in the environmental packages	-	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:minimumDistanceAboveSurfaceInMeters	dwcversion:minimumDistanceAboveSurfaceInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-02-09	In Darwin Core, according to best practices, depth is measured in water from an air-water surface, while in other media the corresponding terms are dwc:minimumDistanceAboveSurfaceInMeters and dwc:maximumDistanceAboveSurfaceInMeters, where the values would be negative for depth. Thus, for a sediment at the bottom of a lake, there would be an elevation of the lake surface, the depth of the top of the sediment in the lake, and minimum and maximum distances below the sediment surface within which a sample was taken.	The DwC term will expect a negative value here, while MIxS will not. Additionally, the example offered by DwC does not include the unit "meter" as part of the entry in the field, whereas the MIxS syntax would expect the unit to be added.
dwc:maximumDistanceAboveSurfaceInMeters	Maximum Distance Above Surface in Meters	The greater distance in a range of distance from a reference surface in the vertical direction, in meters. Use positive values for locations above the surface, negative values for locations below. If depth measures are given, the reference surface is the location given by the depth, otherwise the reference surface is the location given by the elevation.	 	https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch	narrow match to	skos:exactMatch	exact match to	MIXS:0000018	depth	Please refer to the definitions of depth in the environmental packages	-	MIxS core	HumanCurated	orcid:0000-0003-1144-0290	dwc:maximumDistanceAboveSurfaceInMeters	dwcversion:maximumDistanceAboveSurfaceInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-02-09	In Darwin Core, according to best practices, depth is measured in water from an air-water surface, while in other media the corresponding terms are dwc:minimumDistanceAboveSurfaceInMeters and dwc:maximumDistanceAboveSurfaceInMeters, where the values would be negative for depth. Thus, for a sediment at the bottom of a lake, there would be an elevation of the lake surface, the depth of the top of the sediment in the lake, and minimum and maximum distances below the sediment surface within which a sample was taken.	The DwC term will expect a negative value here, while MIxS will not. Additionally, the example offered by DwC does not include the unit "meter" as part of the entry in the field, whereas the MIxS syntax would expect the unit to be added.
dwc:minimumDepthInMeters	Minimum Depth In Meters	The lesser depth of a range of depth below the local surface, in meters.	 	https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch	narrow match to	skos:narrowMatch	narrow match to	MIXS:0000018	depth	Please refer to the definitions of depth in the environmental packages	-	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:minimumDepthInMeters	dwcversion:minimumDepthInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-12	The DwC term specifically addresses a range of depths, for which this term gives the minimum depth, whereas the MIxS term does not specify that it is about a depth range	The example offered by DwC does not include the unit "meter" as part of the entry in the field, whereas the MIxS syntax would expect the unit to be added.
dwc:maximumDepthInMeters	Maximum Depth In Meters	The greater depth of a range of depth below the local surface, in meters.		https://dwc.tdwg.org/list/#dcterms_Location	skos:narrowMatch	narrow match to	skos:narrowMatch	narrow match to	MIXS:0000018	depth	Please refer to the definitions of depth in the environmental packages	-	MIxS core	HumanCurated	orcid:0000-0002-2996-719X	dwc:maximumDepthInMeters	dwcversion:maximumDepthInMeters-2017-10-06	MIXSversion:mixs_v5.xlsx	5	2021-04-12	The DwC term specifically addresses a range of depths, for which this term gives the maximum depth, whereas the MIxS term does not specify that it is about a depth range	The example offered by DwC does not include the unit "meter" as part of the entry in the field, whereas the MIxS syntax would expect the unit to be added.
